row_id,date_hour,day,hourly_wage_cost
1,"2024-02-05 07:00",Monday,53.300
2,"2024-02-05 08:00",Monday,53.300
3,"2024-02-05 09:00",Monday,53.300
4,"2024-02-05 10:00",Monday,53.300
5,"2024-02-05 11:00",Monday,53.300
6,"2024-02-05 12:00",Monday,53.300
7,"2024-02-05 13:00",Monday,53.300
8,"2024-02-05 14:00",Monday,53.300
9,"2024-02-06 07:00",Tuesday,67.500
10,"2024-02-06 08:00",Tuesday,67.500
11,"2024-02-06 09:00",Tuesday,67.500
12,"2024-02-06 10:00",Tuesday,67.500
13,"2024-02-06 11:00",Tuesday,67.500
14,"2024-02-06 12:00",Tuesday,67.500
15,"2024-02-06 13:00",Tuesday,67.500
16,"2024-02-06 14:00",Tuesday,67.500
17,"2024-02-07 07:00",Wednesday,69.300
18,"2024-02-07 08:00",Wednesday,69.300
19,"2024-02-07 09:00",Wednesday,69.300
20,"2024-02-07 10:00",Wednesday,69.300
21,"2024-02-07 11:00",Wednesday,67.500
22,"2024-02-07 12:00",Wednesday,67.500
23,"2024-02-07 13:00",Wednesday,67.500
24,"2024-02-07 14:00",Wednesday,67.500
25,"2024-02-08 07:00",Thursday,67.500
26,"2024-02-08 08:00",Thursday,67.500
27,"2024-02-08 09:00",Thursday,67.500
28,"2024-02-08 10:00",Thursday,67.500
29,"2024-02-08 11:00",Thursday,69.300
30,"2024-02-08 12:00",Thursday,69.300
31,"2024-02-08 13:00",Thursday,69.300
32,"2024-02-08 14:00",Thursday,69.300
33,"2024-02-09 07:00",Friday,67.500
34,"2024-02-09 08:00",Friday,67.500
35,"2024-02-09 09:00",Friday,67.500
36,"2024-02-09 10:00",Friday,67.500
37,"2024-02-09 11:00",Friday,67.500
38,"2024-02-09 12:00",Friday,67.500
39,"2024-02-09 13:00",Friday,67.500
40,"2024-02-09 14:00",Friday,67.500
41,"2024-02-10 07:00",Saturday,83.075
42,"2024-02-10 08:00",Saturday,83.075
43,"2024-02-10 09:00",Saturday,83.075
44,"2024-02-10 10:00",Saturday,83.075
45,"2024-02-10 11:00",Saturday,80.375
46,"2024-02-10 12:00",Saturday,80.375
47,"2024-02-10 13:00",Saturday,80.375
48,"2024-02-10 14:00",Saturday,80.375
49,"2024-02-12 07:00",Monday,67.500
50,"2024-02-12 08:00",Monday,67.500
51,"2024-02-12 09:00",Monday,67.500
52,"2024-02-12 10:00",Monday,67.500
53,"2024-02-12 11:00",Monday,69.300
54,"2024-02-12 12:00",Monday,69.300
55,"2024-02-12 13:00",Monday,69.300
56,"2024-02-12 14:00",Monday,69.300
57,"2024-02-13 07:00",Tuesday,69.300
58,"2024-02-13 08:00",Tuesday,69.300
59,"2024-02-13 09:00",Tuesday,69.300
60,"2024-02-13 10:00",Tuesday,69.300
61,"2024-02-13 11:00",Tuesday,67.500
62,"2024-02-13 12:00",Tuesday,67.500
63,"2024-02-13 13:00",Tuesday,67.500
64,"2024-02-13 14:00",Tuesday,69.300
65,"2024-02-14 07:00",Wednesday,67.500
66,"2024-02-14 08:00",Wednesday,67.500
67,"2024-02-14 09:00",Wednesday,67.500
68,"2024-02-14 10:00",Wednesday,67.500
69,"2024-02-14 11:00",Wednesday,67.500
70,"2024-02-14 12:00",Wednesday,67.500
71,"2024-02-14 13:00",Wednesday,67.500
72,"2024-02-14 14:00",Wednesday,67.500
73,"2024-02-15 07:00",Thursday,69.300
74,"2024-02-15 08:00",Thursday,69.300
75,"2024-02-15 09:00",Thursday,69.300
76,"2024-02-15 10:00",Thursday,69.300
77,"2024-02-15 11:00",Thursday,67.500
78,"2024-02-15 12:00",Thursday,67.500
79,"2024-02-15 13:00",Thursday,67.500
80,"2024-02-15 14:00",Thursday,67.500
81,"2024-02-16 07:00",Friday,67.500
82,"2024-02-16 08:00",Friday,67.500
83,"2024-02-16 09:00",Friday,67.500
84,"2024-02-16 10:00",Friday,69.300
85,"2024-02-16 11:00",Friday,69.300
86,"2024-02-16 12:00",Friday,69.300
87,"2024-02-16 13:00",Friday,69.300
88,"2024-02-16 14:00",Friday,69.300
89,"2024-02-17 07:00",Saturday,79.950
90,"2024-02-17 08:00",Saturday,79.950
91,"2024-02-17 09:00",Saturday,79.950
92,"2024-02-17 10:00",Saturday,79.950
93,"2024-02-17 11:00",Saturday,79.950
94,"2024-02-17 12:00",Saturday,79.950
95,"2024-02-17 13:00",Saturday,79.950
96,"2024-02-17 14:00",Saturday,79.950
97,"2024-02-19 07:00",Monday,53.300
98,"2024-02-19 08:00",Monday,53.300
99,"2024-02-19 09:00",Monday,53.300
100,"2024-02-19 10:00",Monday,53.300
101,"2024-02-19 11:00",Monday,53.300
102,"2024-02-19 12:00",Monday,53.300
103,"2024-02-19 13:00",Monday,53.300
104,"2024-02-19 14:00",Monday,53.300
105,"2024-02-20 07:00",Tuesday,67.500
106,"2024-02-20 08:00",Tuesday,67.500
107,"2024-02-20 09:00",Tuesday,67.500
108,"2024-02-20 10:00",Tuesday,67.500
109,"2024-02-20 11:00",Tuesday,67.500
110,"2024-02-20 12:00",Tuesday,67.500
111,"2024-02-20 13:00",Tuesday,67.500
112,"2024-02-20 14:00",Tuesday,67.500
113,"2024-02-21 07:00",Wednesday,69.300
114,"2024-02-21 08:00",Wednesday,69.300
115,"2024-02-21 09:00",Wednesday,69.300
116,"2024-02-21 10:00",Wednesday,69.300
117,"2024-02-21 11:00",Wednesday,67.500
118,"2024-02-21 12:00",Wednesday,67.500
119,"2024-02-21 13:00",Wednesday,67.500
120,"2024-02-21 14:00",Wednesday,67.500
121,"2024-02-22 07:00",Thursday,67.500
122,"2024-02-22 08:00",Thursday,67.500
123,"2024-02-22 09:00",Thursday,67.500
124,"2024-02-22 10:00",Thursday,67.500
125,"2024-02-22 11:00",Thursday,69.300
126,"2024-02-22 12:00",Thursday,69.300
127,"2024-02-22 13:00",Thursday,69.300
128,"2024-02-22 14:00",Thursday,69.300
129,"2024-02-23 07:00",Friday,67.500
130,"2024-02-23 08:00",Friday,67.500
131,"2024-02-23 09:00",Friday,67.500
132,"2024-02-23 10:00",Friday,67.500
133,"2024-02-23 11:00",Friday,67.500
134,"2024-02-23 12:00",Friday,67.500
135,"2024-02-23 13:00",Friday,67.500
136,"2024-02-23 14:00",Friday,67.500
137,"2024-02-24 07:00",Saturday,83.075
138,"2024-02-24 08:00",Saturday,83.075
139,"2024-02-24 09:00",Saturday,83.075
140,"2024-02-24 10:00",Saturday,83.075
141,"2024-02-24 11:00",Saturday,80.375
142,"2024-02-24 12:00",Saturday,80.375
143,"2024-02-24 13:00",Saturday,80.375
144,"2024-02-24 14:00",Saturday,80.375
145,"2024-02-26 07:00",Monday,67.500
146,"2024-02-26 08:00",Monday,67.500
147,"2024-02-26 09:00",Monday,67.500
148,"2024-02-26 10:00",Monday,67.500
149,"2024-02-26 11:00",Monday,69.300
150,"2024-02-26 12:00",Monday,69.300
151,"2024-02-26 13:00",Monday,69.300
152,"2024-02-26 14:00",Monday,69.300
153,"2024-02-27 07:00",Tuesday,69.300
154,"2024-02-27 08:00",Tuesday,69.300
155,"2024-02-27 09:00",Tuesday,69.300
156,"2024-02-27 10:00",Tuesday,69.300
157,"2024-02-27 11:00",Tuesday,67.500
158,"2024-02-27 12:00",Tuesday,67.500
159,"2024-02-27 13:00",Tuesday,67.500
160,"2024-02-27 14:00",Tuesday,69.300
161,"2024-02-28 07:00",Wednesday,67.500
162,"2024-02-28 08:00",Wednesday,67.500
163,"2024-02-28 09:00",Wednesday,67.500
164,"2024-02-28 10:00",Wednesday,67.500
165,"2024-02-28 11:00",Wednesday,67.500
166,"2024-02-28 12:00",Wednesday,67.500
167,"2024-02-28 13:00",Wednesday,67.500
168,"2024-02-28 14:00",Wednesday,67.500
169,"2024-02-29 07:00",Thursday,69.300
170,"2024-02-29 08:00",Thursday,69.300
171,"2024-02-29 09:00",Thursday,69.300
172,"2024-02-29 10:00",Thursday,69.300
173,"2024-02-29 11:00",Thursday,67.500
174,"2024-02-29 12:00",Thursday,67.500
175,"2024-02-29 13:00",Thursday,67.500
176,"2024-02-29 14:00",Thursday,67.500
177,"2024-03-01 07:00",Friday,67.500
178,"2024-03-01 08:00",Friday,67.500
179,"2024-03-01 09:00",Friday,67.500
180,"2024-03-01 10:00",Friday,69.300
181,"2024-03-01 11:00",Friday,69.300
182,"2024-03-01 12:00",Friday,69.300
183,"2024-03-01 13:00",Friday,69.300
184,"2024-03-01 14:00",Friday,69.300
185,"2024-03-02 07:00",Saturday,79.950
186,"2024-03-02 08:00",Saturday,79.950
187,"2024-03-02 09:00",Saturday,79.950
188,"2024-03-02 10:00",Saturday,79.950
189,"2024-03-02 11:00",Saturday,79.950
190,"2024-03-02 12:00",Saturday,79.950
191,"2024-03-02 13:00",Saturday,79.950
192,"2024-03-02 14:00",Saturday,79.950
193,"2024-03-04 07:00",Monday,53.300
194,"2024-03-04 08:00",Monday,53.300
195,"2024-03-04 09:00",Monday,53.300
196,"2024-03-04 10:00",Monday,53.300
197,"2024-03-04 11:00",Monday,53.300
198,"2024-03-04 12:00",Monday,53.300
199,"2024-03-04 13:00",Monday,53.300
200,"2024-03-04 14:00",Monday,53.300
201,"2024-03-05 07:00",Tuesday,67.500
202,"2024-03-05 08:00",Tuesday,67.500
203,"2024-03-05 09:00",Tuesday,67.500
204,"2024-03-05 10:00",Tuesday,67.500
205,"2024-03-05 11:00",Tuesday,67.500
206,"2024-03-05 12:00",Tuesday,67.500
207,"2024-03-05 13:00",Tuesday,67.500
208,"2024-03-05 14:00",Tuesday,67.500
209,"2024-03-06 07:00",Wednesday,69.300
210,"2024-03-06 08:00",Wednesday,69.300
211,"2024-03-06 09:00",Wednesday,69.300
212,"2024-03-06 10:00",Wednesday,69.300
213,"2024-03-06 11:00",Wednesday,67.500
214,"2024-03-06 12:00",Wednesday,67.500
215,"2024-03-06 13:00",Wednesday,67.500
216,"2024-03-06 14:00",Wednesday,67.500
217,"2024-03-07 07:00",Thursday,67.500
218,"2024-03-07 08:00",Thursday,67.500
219,"2024-03-07 09:00",Thursday,67.500
220,"2024-03-07 10:00",Thursday,67.500
221,"2024-03-07 11:00",Thursday,69.300
222,"2024-03-07 12:00",Thursday,69.300
223,"2024-03-07 13:00",Thursday,69.300
224,"2024-03-07 14:00",Thursday,69.300
225,"2024-03-08 07:00",Friday,67.500
226,"2024-03-08 08:00",Friday,67.500
227,"2024-03-08 09:00",Friday,67.500
228,"2024-03-08 10:00",Friday,67.500
229,"2024-03-08 11:00",Friday,67.500
230,"2024-03-08 12:00",Friday,67.500
231,"2024-03-08 13:00",Friday,67.500
232,"2024-03-08 14:00",Friday,67.500
233,"2024-03-09 07:00",Saturday,83.075
234,"2024-03-09 08:00",Saturday,83.075
235,"2024-03-09 09:00",Saturday,83.075
236,"2024-03-09 10:00",Saturday,83.075
237,"2024-03-09 11:00",Saturday,80.375
238,"2024-03-09 12:00",Saturday,80.375
239,"2024-03-09 13:00",Saturday,80.375
240,"2024-03-09 14:00",Saturday,80.375
241,"2024-03-11 07:00",Monday,67.500
242,"2024-03-11 08:00",Monday,67.500
243,"2024-03-11 09:00",Monday,67.500
244,"2024-03-11 10:00",Monday,67.500
245,"2024-03-11 11:00",Monday,69.300
246,"2024-03-11 12:00",Monday,69.300
247,"2024-03-11 13:00",Monday,69.300
248,"2024-03-11 14:00",Monday,69.300
249,"2024-03-12 07:00",Tuesday,69.300
250,"2024-03-12 08:00",Tuesday,69.300
251,"2024-03-12 09:00",Tuesday,69.300
252,"2024-03-12 10:00",Tuesday,69.300
253,"2024-03-12 11:00",Tuesday,67.500
254,"2024-03-12 12:00",Tuesday,67.500
255,"2024-03-12 13:00",Tuesday,67.500
256,"2024-03-12 14:00",Tuesday,69.300
257,"2024-03-13 07:00",Wednesday,67.500
258,"2024-03-13 08:00",Wednesday,67.500
259,"2024-03-13 09:00",Wednesday,67.500
260,"2024-03-13 10:00",Wednesday,67.500
261,"2024-03-13 11:00",Wednesday,67.500
262,"2024-03-13 12:00",Wednesday,67.500
263,"2024-03-13 13:00",Wednesday,67.500
264,"2024-03-13 14:00",Wednesday,67.500
265,"2024-03-14 07:00",Thursday,69.300
266,"2024-03-14 08:00",Thursday,69.300
267,"2024-03-14 09:00",Thursday,69.300
268,"2024-03-14 10:00",Thursday,69.300
269,"2024-03-14 11:00",Thursday,67.500
270,"2024-03-14 12:00",Thursday,67.500
271,"2024-03-14 13:00",Thursday,67.500
