id,transaction_id,item_id
1,1,4
2,2,33
3,3,35
4,3,24
5,3,31
6,3,37
7,4,15
8,4,27
9,4,22
10,5,35
11,5,7
12,6,10
13,6,34
14,7,24
15,8,20
16,8,15
17,8,12
18,8,9
19,8,30
20,8,13
21,9,20
22,9,11
23,9,23
24,9,32
25,9,36
26,9,4
27,9,36
28,10,23
29,11,33
30,12,13
31,13,21
32,13,22
33,14,16
34,15,27
35,16,35
36,17,9
37,17,27
38,17,23
39,17,16
40,17,19
41,18,4
42,18,18
43,18,25
44,19,7
45,20,22
46,20,27
47,20,21
48,21,36
49,22,22
50,22,11
51,23,5
52,24,8
53,25,37
54,25,26
55,25,3
56,25,33
57,26,19
58,26,4
59,27,26
60,28,16
61,28,35
62,29,31
63,30,18
64,31,10
65,31,29
66,31,13
67,31,1
68,32,4
69,32,23
70,32,5
71,32,25
72,32,14
73,33,19
74,34,12
75,34,9
76,35,6
77,35,31
78,35,17
79,36,16
80,37,1
81,38,37
82,39,11
83,40,35
84,41,5
85,41,19
86,41,30
87,42,20
88,43,29
89,43,37
90,44,35
91,44,24
92,45,22
93,46,9
94,47,28
95,48,35
96,49,12
97,49,35
98,50,35
99,51,30
100,52,34
101,53,35
102,54,15
103,54,5
104,54,37
105,54,11
106,54,13
107,54,26
108,54,1
109,55,30
110,56,23
111,56,34
112,56,24
113,57,35
114,57,25
115,57,36
116,58,36
117,59,4
118,60,34
119,61,24
120,62,37
121,63,3
122,63,17
123,64,9
124,65,37
125,65,33
126,65,26
127,65,2
128,65,28
129,66,15
130,67,21
131,68,22
132,69,36
133,70,26
134,70,21
135,70,6
136,71,29
137,72,34
138,73,12
139,74,19
140,75,31
141,75,11
142,76,25
143,77,2
144,78,35
145,79,28
146,80,1
147,81,28
148,82,19
149,83,36
150,84,13
151,84,6
152,84,9
153,84,25
154,84,4
155,85,36
156,85,20
157,86,29
158,87,36
159,87,22
160,88,13
161,89,9
162,90,10
163,91,11
164,92,7
165,92,12
166,92,22
167,93,15
168,94,10
169,95,20
170,96,4
171,96,9
172,97,11
173,97,32
174,98,10
175,99,9
176,100,13
177,100,30
178,101,35
179,101,11
180,101,18
181,102,33
182,103,27
183,103,6
184,104,10
185,105,37
186,105,33
187,105,4
188,105,24
189,105,36
190,106,15
191,107,37
192,108,28
193,108,14
194,109,30
195,109,8
196,110,22
197,110,28
198,110,11
199,110,9
200,110,5
201,111,2
202,112,26
203,113,4
204,114,34
205,115,4
206,115,33
207,115,6
208,116,10
209,117,5
210,118,24
211,119,5
212,119,7
213,120,33
214,121,1
215,122,8
216,123,10
217,123,20
218,124,10
219,125,11
220,126,5
221,126,17
222,126,15
223,127,3
224,128,12
225,129,6
226,130,9
227,131,19
228,131,35
229,132,33
230,132,35
231,133,35
232,134,23
233,135,30
234,136,1
235,136,6
236,137,33
237,138,33
238,138,28
239,138,31
240,139,12
241,139,34
242,140,8
243,140,36
244,141,16
245,142,34
246,142,23
247,143,21
248,143,6
249,144,36
250,145,16
251,146,14
252,147,34
253,148,20
254,149,12
255,150,15
256,151,2
257,152,8
258,153,3
259,154,23
260,155,22
261,156,3
262,157,19
263,158,32
264,158,18
265,159,6
266,160,36
267,161,4
268,161,21
269,162,6
270,163,34
271,164,30
272,164,19
273,164,29
274,165,27
275,165,4
276,165,8
277,165,16
278,165,10
279,165,9
280,165,28
281,166,8
282,167,31
283,168,18
284,168,27
285,168,22
286,168,12
287,168,2
288,168,23
289,168,19
290,169,23
291,170,18
292,171,33
293,172,17
294,172,6
295,173,14
296,173,9
297,173,33
298,173,35
299,174,37
300,175,11
301,176,30
302,176,17
303,177,9
304,178,17
305,179,23
306,179,32
307,179,32
308,179,26
309,180,35
310,181,1
311,181,20
312,181,19
313,181,11
314,182,29
315,183,7
316,183,21
317,183,27
318,184,8
319,185,10
320,186,13
321,187,31
322,187,19
323,187,13
324,187,15
325,188,33
326,189,21
327,190,10
328,191,7
329,192,25
330,192,20
331,192,31
332,192,2
333,193,19
334,193,26
335,193,20
336,194,19
337,195,27
338,196,25
339,197,27
340,198,18
341,199,35
342,200,34
343,201,33
344,202,27
345,203,27
346,203,24
347,204,22
348,204,8
349,205,35
350,206,25
351,206,26
352,206,33
353,206,27
354,207,6
355,207,21
356,207,9
357,208,18
358,208,1
359,209,21
360,210,28
361,211,15
362,211,13
363,211,5
364,211,10
365,211,14
366,211,6
367,212,1
368,212,21
369,212,28
370,213,22
371,213,12
372,214,9
373,215,33
374,215,9
375,216,20
376,217,11
377,218,35
378,218,36
379,218,28
380,218,12
381,218,31
382,218,24
383,219,3
384,220,36
385,220,33
386,221,12
387,221,27
388,222,37
389,223,28
390,223,26
391,223,8
392,224,37
393,224,22
394,225,26
395,226,28
396,226,12
397,227,24
398,228,18
399,228,21
400,228,7
401,228,9
402,229,25
403,230,24
404,231,35
405,232,27
406,233,36
407,234,31
408,234,37
409,234,34
410,234,5
411,235,17
412,236,37
413,237,36
414,238,32
415,239,6
416,240,37
417,241,30
418,241,34
419,241,14
420,242,10
421,242,25
422,243,36
423,244,18
424,245,5
425,245,2
426,245,19
427,246,10
428,247,1
429,248,32
430,249,5
431,250,25
432,251,2
433,251,6
434,252,5
435,253,2
436,254,16
437,255,25
438,256,9
439,256,28
440,257,21
441,258,13
442,258,28
443,259,23
444,260,36
445,261,36
446,262,23
447,263,20
448,264,35
449,265,27
450,266,22
451,267,36
452,268,27
453,269,34
454,270,14
455,270,31
456,271,30
457,271,37
458,271,35
459,271,1
460,272,37
461,272,10
462,272,6
463,272,34
464,273,4
465,273,9
466,274,12
467,275,16
468,276,24
469,277,21
470,278,23
471,278,15
472,278,24
473,279,17
474,280,4
475,280,25
476,280,30
477,280,13
478,281,36
479,282,13
480,282,4
481,283,14
482,284,29
483,285,8
484,286,33
485,286,31
486,286,25
487,286,30
488,287,25
489,288,11
490,288,36
491,289,16
492,290,10
493,290,31
494,290,34
495,291,7
496,292,21
497,293,15
498,294,14
499,295,13
500,296,28
501,297,25
502,297,29
503,297,5
504,298,24
505,298,26
506,298,34
507,299,2
508,300,31
509,300,24
510,300,27
511,300,19
512,300,1
513,300,29
514,301,4
515,301,35
516,302,37
517,303,28
518,304,2
519,305,4
520,305,35
521,305,24
522,305,9
523,305,21
524,306,33
525,307,23
526,308,15
527,309,31
528,309,12
529,310,17
530,311,37
531,312,17
532,313,6
533,314,22
534,315,4
535,316,26
536,316,12
537,316,31
538,317,23
539,317,1
540,317,1
541,318,37
542,319,3
543,320,5
544,321,17
545,322,11
546,323,4
547,323,18
548,323,8
549,323,13
550,323,9
551,324,26
552,325,14
553,326,8
554,327,17
555,328,19
556,328,33
557,328,1
558,329,36
559,329,26
560,329,16
561,330,2
562,331,21
563,332,33
564,333,31
565,333,32
566,333,14
567,334,20
568,335,27
569,335,30
570,335,17
571,336,25
572,337,8
573,337,27
574,338,5
575,339,8
576,340,36
577,341,30
578,341,21
579,341,11
580,341,7
581,342,8
582,343,25
583,344,6
584,345,24
585,345,5
586,346,5
587,347,1
588,347,20
589,348,33
590,348,16
591,348,31
592,348,15
593,348,36
594,349,13
595,350,26
596,350,28
597,350,36
598,351,14
599,352,15
600,353,2
601,354,10
602,355,15
603,356,16
604,357,34
605,358,17
606,359,22
607,360,19
608,361,16
609,361,37
610,362,29
611,363,24
612,364,37
613,365,34
614,365,16
615,366,13
616,367,34
617,368,17
618,368,10
619,368,20
620,369,24
621,370,37
622,370,31
623,370,3
624,371,32
625,372,3
626,373,2
627,374,33
628,375,8
629,376,9
630,377,16
631,378,2
632,379,15
633,380,22
634,380,5
635,380,18
636,380,37
637,381,36
638,382,36
639,382,12
640,383,13
641,384,34
642,385,11
643,386,4
644,387,12
645,388,15
646,389,35
647,390,13
648,391,17
649,391,25
650,391,5
651,391,9
652,391,8
653,391,36
654,392,22
655,393,19
656,394,5
657,395,14
658,396,24
659,397,29
660,398,23
661,399,28
662,400,34
663,401,29
664,402,17
665,403,36
666,404,37
667,404,4
668,404,23
669,405,27
670,406,26
671,406,7
672,407,20
673,408,12
674,409,32
675,409,7
676,409,33
677,410,20
678,411,29
679,412,5
680,413,1
681,414,37
682,415,2
683,416,30
684,417,3
685,418,14
686,419,22
687,420,24
688,421,30
689,421,21
690,422,32
691,423,14
692,423,23
693,423,20
694,424,27
695,424,24
696,424,34
697,425,6
698,426,30
699,427,34
700,428,23
701,429,8
702,430,22
703,431,36
704,431,19
705,432,8
706,433,28
707,434,15
708,435,13
709,435,6
710,436,26
711,437,5
712,437,7
713,437,20
714,438,29
715,439,11
716,440,33
717,441,34
718,441,3
719,441,10
720,442,9
721,443,22
722,444,26
723,444,16
724,445,21
725,446,7
726,447,36
727,447,10
728,448,24
729,449,12
730,450,5
731,451,10
732,452,28
733,453,20
734,454,4
735,455,10
736,456,29
737,457,14
738,457,11
739,457,15
740,457,36
741,457,21
742,457,19
743,458,16
744,459,7
745,460,20
746,460,19
